protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g)
2.31,0.031,0.369,2.3,0.0009,0.308,10,7.69,0.77,83.7,77,0.385,0,0
1.54,0.015,0.354,2.3,0.0018,0.308,10,6.92,2.31,83.5,69,0,0,0
1.6,0.016,0.336,2.4,0.001,0.32,9.6,7.2,2,83.5,64,0,0,0
1.54,0.015,0.369,2.3,0.0018,0.292,10,7.69,1.15,80,54,0,0,0
1.54,0.015,0.408,2.3,0,0.354,13.85,9.23,2.69,80.2,85,0.769,0,0
0,0,0.234,0,0,0,1.28,0.85,0,98.2,5,0,0,0
0,0,0.4,0,0,0,1.28,0.85,0,97.6,5,0,0,0
1.01,0,0.047,0,0,0.077,0.34,0.34,0.34,98.2,10,0.168,0,0
3.93,0.007,0.046,0.7,0,0.161,5.57,1.31,1.48,88.8,52,0.492,0.656,0.328
1.01,0.013,0.02,0,0,0.057,6.38,2.01,2.68,89.4,54,0.839,0.503,1.342
2,0.03,0.318,0,0,0.086,0.4,0.09,0.6,96,16,0.133,0.108,0.245
1.09,0.006,0.587,0.7,0,0.022,6.24,0.52,1.13,89.97,39,0.4,0.432,0.046
1.2,0.004,0.05,0,0.001,0.081,2.5,0,0.2,94.5,16,0.1,0.08,0.01
9.2,0.14,11.588,0,0.001,0.279,47.49,0,9.63,2.74,313,2.026,4.683,0.23
3.75,0.006,0.56,0.4,0,0.081,4.81,0.21,2.36,87.48,53,1.153,0.962,0.08
8.53,0.116,5.053,3.2,0.0019,0.367,59.78,9.23,11.85,5.51,380,5.866,5.488,0.499
10.74,0.132,4.843,2,0.0003,0.262,59.38,0,9.61,5,367,3.319,4.452,0.405
1.93,0.02,0.424,0.4,0,0.109,5.42,0.78,5.71,85.34,79,1.41,2.55,1.5
11.27,0.146,4.152,0,0.0006,0.404,62.09,0,9.73,3.85,381,2.92,4.648,1.877
9.8,0.141,5.203,4.3,0.0009,0.45,61.1,23.9,9.48,4.65,369,4.88,3.659,0.938
11.72,0.115,4.09,3.8,0.0009,0.306,57.56,7.6,14.66,5.24,409,4.931,5.25,4.478
3.8,0.006,0.018,0.3,0,0.081,6.16,0.01,2.4,87.5,53,1.003,1.068,0.095
1.26,0.007,0.57,0.4,0,0.106,5.47,0,2.71,89,50,0.4,1.17,1.02
10,0.23,6.58,4.8,0.007,0.262,64.66,3.26,4,3.34,328,2.36,1.31,0.14
9,0.28,4.186,6,0.007,0.262,67.64,0,3,4.36,322,1.86,0.9,0.14
8.78,0.139,5.356,2.4,0.0014,0.235,63.57,24.73,8.63,4.43,367,4.29,3.881,0.454
2.6,0.004,0.577,0.4,0,0.109,5.1,0.21,2.1,88.6,51,0.62,0.9,0.49
10.42,0.146,4.392,0,0.0002,0.428,65.12,0,7.19,4.67,367,1.975,2.575,2.196
13,0.15,5.73,0,0.007,0.262,58,0,8,4,344,2.86,3.15,1.62
9.2,0.172,0.612,7.6,0.016,1.248,76.14,10,3.1,5.8,343,0.613,1.185,1.025
15.32,0.467,2.59,2,0,0.254,36.52,5.4,36.35,2.05,535,13.18,13.669,8.61
0,0.012,0.847,0.6,0.0007,0.208,36.25,26.06,0.29,60.34,150,0,0.074,0.17
0,0.012,0.133,0.6,0.0007,0.208,36.25,26.06,0.29,60.34,150,0,0.074,0.17
7.68,0.204,3.202,1,0.0009,0.428,60.52,10.26,18.33,3.78,438,8.44,6.868,0.983
22.69,0.795,3.712,1.1,0.001,0.519,33.66,25.13,25.44,4.09,448,12.05,8.44,3.66
6.71,0.184,0.828,0.5,0.0004,0.03,6.83,0.42,13.29,70.5,174,6.01,3.823,2.599
0.7,0.005,0.025,1.9,0.068,0.564,5,2.55,0.1,93.9,20,0.013,0.068,0.012
5.06,0.043,7.851,0,0.0005,0.288,3.64,3.64,0.01,71.07,35,0.003,0.002,0.003
3.31,0.032,1.615,2.8,0.0004,0.119,44.08,27.26,3.39,44.23,220,0.568,0.963,1.698
3.84,0.118,0.354,0.2,0.0008,0.156,9.17,4.38,10.63,74.89,147,2.854,4.42,2.862
3.99,0.111,0.373,0.3,0.0007,0.149,11.61,3.98,13.83,69.1,186,3.416,5.851,3.914
3.77,0.126,0.328,0.1,0.0008,0.163,7.4,4.78,6.73,80.66,105,2.152,2.67,1.586
7.48,0.302,1.164,10.1,0,0.602,41.7,0,41.58,4.12,571,0,0,0
1.35,0.032,2.733,0.3,0.0001,0.054,10.92,0,0.25,80,51,0.043,0.073,0.066
1.78,0.022,0.41,2.6,0.002,0.316,13.76,8.84,2.69,80.01,87,0.699,0.589,1.184
1.78,0.022,0.03,2.6,0.002,0.316,13.76,8.84,2.69,80.01,87,0.699,0.589,1.184
0.9,0.009,0.025,0.7,0.03,0.564,3.9,2.55,0.6,94.1,21,0.08,0.411,0.074
2.18,0.054,0.185,2,0.0113,0.354,8.67,1.75,1.15,86.71,54,0.46,0.461,0.099
0.89,0.012,0.538,0.7,0.0005,0.259,42.81,0,1.04,53.71,184,0.153,0.24,0.588
0.51,0.008,2.643,0.3,0.0748,0.144,1.75,1.26,0.37,89.98,11,0.052,0.03,0.196
1.29,0.012,0.633,0.6,0.0045,0.128,0.8,0.13,0.76,95.17,12,0.106,0.061,0.401
1.54,0.027,0.6,1.6,0.0019,0.297,6.26,3.06,0.16,89.88,27,0.03,0.025,0.115
12.8,0.02,1.145,1.7,0.0204,0.401,5.46,0,18.2,59.66,237,0,0,0
1.84,0.016,0.347,0.4,0.005,0.193,16.72,10.81,0.58,78.56,79,0.144,0.253,0.117
5.93,0.025,3.833,0.1,0,0.225,15.56,14.1,0.02,67.69,89,0,0,0
5.93,0.025,1.778,0.1,0,0.225,15.58,14.1,0.02,69.7,89,0,0,0
2.5,0.02,0.02,0.5,0.016,0.37,28.73,8.96,0.3,68,104,0.044,0.042,0.137
2.5,0.02,1.338,5.9,0.016,0.37,19.79,10.54,0.3,68,104,0.045,0.038,0.154
3.95,0.131,0.184,0.1,0,0.167,8.29,5.29,2.56,84.02,72,1.6,0.656,0.112
0,0.107,0.98,0,0.013,0.8,19.46,10.03,0,78.54,78,0,0,0
1,0.006,0.158,0.4,0.007,0.08,0.4,0,0.1,97.8,7,0.029,0.045,0.021
3.69,0.008,0.195,0.8,0,0,5.2,0.57,0.63,89.73,41,0.4,0,0.18
2.53,0.015,0.181,0.8,0.001,0,5.71,0.37,0.55,90.31,37,0.17,0.23,0.13
2.13,0.016,0.195,1.9,0.001,0,10.04,2.13,0.21,86.82,51,0.05,0.07,0.08
0.54,0.004,0.409,0,0,0.03,0.14,0.15,0.17,98.1,4,0,0,0
4.19,0.038,0.187,4,0.0011,0.158,13.66,3.17,1.03,79.91,74,0.252,0.415,0.269
6.5,0,0.736,4.6,0,0,18,0,2.1,70.9,117,0.601,0.747,0.446
2.07,0.021,0.35,3.4,0.0004,0.123,6.18,0.23,0.81,89.73,40,0.36,0.35,0.06
7.6,0.066,0.831,4.6,0.0007,0.363,16.75,0,5.31,67.7,142,1.61,2.08,1.25
3.99,0.035,0.437,0,0.0004,0.191,8.8,0,2.79,83.03,75,0.85,1.09,0.66
5.19,0.032,0.4,4.6,0.0018,0.175,11.16,0,3.5,78.63,95,1.37,1.58,0.39
5.88,0.06,0.709,5.9,0.0012,0.3,16.97,3,4.42,70.17,129,1.14,1.62,1.36
2.88,0.031,0.349,2.9,0.0006,0.147,8.31,1.47,2.16,85.35,63,0.558,0.793,0.666
4.3,0.013,0.025,0.2,0.003,0.14,9.58,0.84,2.3,83.3,69,1.621,0.394,0.068
2.52,0.007,0.653,0,0.0007,0.125,0.84,0,0,94.76,13,0,0,0
1.14,0.006,0.372,0,0,0.054,0.04,0,0.22,97.55,7,0.11,0.09,0.01
15.97,0.06,16.982,0,0,0.446,23.65,16.71,8.89,3.27,238,4.32,3.616,0.332
0.21,0.004,0.26,0,0,0.006,0.25,0.2,0.08,98.69,3,0.04,0.033,0.003
2.22,0.004,0.264,0,0.0004,0.064,0.73,0,0,96.24,12,0,0,0
17.3,0.06,24,0,0,0.403,16.1,14.51,4,3.3,170,1.99,1.67,0.16
0.21,0.004,0.26,0,0,0.006,0.25,0.2,0.08,98.69,3,0.04,0.033,0.003
4.6,0.004,0.709,0.2,0,0.126,5.2,0,2.4,85.5,61,1.2,1,0.1
2.37,0.002,0.386,0.1,0.0019,0.063,2.6,0,1.23,92.6,30,0.61,0.51,0.05
3.85,0.012,0.653,0.6,0.0003,0.079,7.16,2.06,2.46,84.42,67,0.91,0.99,0.39
1.93,0.008,0.381,0.3,0.0002,0.04,3.58,1.03,1.23,92.16,34,0.455,0.495,0.195
17.93,0.048,8.408,2.7,0.004,0.656,48.64,5.1,6.39,4.97,324,2.07,2.71,1.33
5.1,0.02,0.435,0.6,0,0.14,9,1.68,4.6,79.9,98,2.324,1.556,0.246
3.9,0,0.707,0,0,0,8.2,0,1.4,84.6,61,0.48,0.567,0.098
4.83,0.035,0.97,6.8,0.0002,0.25,15.42,2.49,1.32,75.33,91,0.34,0.48,0.41
2.42,0.019,0.487,3.4,0.0001,0.125,7.71,1.24,0.66,87.62,46,0.17,0.24,0.205
16.7,0.187,1.067,0.2,0.0011,0.309,64.88,14.47,13.89,2.3,438,3.433,5.365,4.485
2.1,0.041,0.661,1.8,0.002,0.207,7.7,2.12,5.3,82.7,87,1.6,2,1.7
4.22,0.111,0.693,0.8,0,0.12,8.19,0.6,8.15,77.15,121,5.19,2.31,0.23
3.77,0.115,0.406,0.4,0.0005,0.136,6.47,0,5.8,82.44,92,3.63,1.63,0.18
2.19,0.057,0.388,0.4,0,0.062,4.26,0,4.24,88.12,63,2.7,1.2,0.12
14.6,0.19,24,0,0.001,0.374,23.5,0,4.7,2.5,198,1.2,1.92,1.62
0.39,0.005,0.326,0,0,0.01,0.62,0,0.12,97.43,5,0.03,0.05,0.04
16.66,0.187,23.875,0,0.0011,0.309,18.01,17.36,13.88,2.27,267,3.43,5.36,4.48
0.28,0.006,0.401,0,0,0.006,0.3,0.29,0.23,98.28,4,0.057,0.089,0.074
4.42,0.006,0.621,0,0,0.17,0.75,0.35,1.04,91.96,31,0.31,0.47,0.22
1.36,0.008,0.231,0,0.0004,0.085,0.38,0.22,0,97.32,7,0,0,0
2.02,0.004,0.306,0,0,0.086,0.38,0.29,0.57,95.95,16,0.16,0.24,0.11
2,0.004,0.03,0,0,0.086,1.2,0.13,0.6,96,16,0.179,0.274,0.126
3.1,0,0.299,0.9,0,0,7.5,0,6.3,82.1,99,1.75,1.27,1.9
2.1,0.019,0.693,1.6,0.004,0.06,6.67,1.93,1.14,88.02,45,0.26,0.52,0.28
1.08,0.01,0.391,0.8,0.002,0.031,3.43,1.02,0.59,93.84,23,0.13,0.27,0.14
3,0,0.339,1.4,0.002,0,7.1,0,4.4,84.2,80,1.15,0.837,1.74
3.5,0.023,0.661,0.2,0,0.126,7.6,1.31,7.3,80.4,109,1.92,3.21,1.85
1.8,0.012,0.327,0.1,0,0.063,3.8,0,3.75,90,54,0.98,1.65,0.95
2.59,0.009,0.706,0.3,0,0.044,6.03,0.54,1.94,87.48,52,0.536,0.855,0.54
1.27,0.006,0.349,0.2,0,0.022,2.95,0.27,0.95,93.82,25,0.262,0.418,0.264
15.42,0.055,3.643,3.2,0,0.306,62.32,1.9,6.51,4.94,377,1.947,2.263,1.39
0.84,0.002,0.229,0.1,0,0.013,3.67,0.31,0.55,94.16,23,0.122,0.205,0.155
1.27,0.006,0.173,0.2,0,0.022,2.95,0.27,0.95,93.82,25,0.262,0.418,0.264
5.11,0.014,0.37,0.4,0.0016,0.045,5.41,0.6,1.33,86.78,53,0.4,0.6,0.28
0.97,0.003,0.388,0.3,0,0.004,3.66,0.29,0.57,93.84,24,0.13,0.25,0.17
1.16,0.015,0.416,0.3,0.004,0.073,5.2,0.64,4.46,87.9,65,1.636,1.605,0.974
2.94,0.014,0.733,0.7,0.0008,0.126,7.01,1.26,2.32,85.52,61,0.69,1.04,0.49
1.5,0.007,0.392,0.4,0.0004,0.064,3.56,0.54,1.18,92.64,31,0.35,0.53,0.25
5.13,0.011,0.347,0,0.0023,0.153,7.87,0,2.01,83.44,69,0.6,0.9,0.42
2.7,0,0.192,0,0,0,6.3,0,0.5,89.5,40,0.121,0.168,0.107
4.58,0.012,0.618,0.4,0,0.095,4.93,0.46,4.51,83.82,79,1.07,2.06,1.06
2.33,0.006,0.305,0.2,0,0.048,2.51,0.33,2.29,91.78,40,0.54,1.05,0.54
2.89,0.014,0.484,0.5,0.0001,0.082,5.84,0.16,1.56,87.84,49,0.37,0.74,0.34
1.45,0.009,0.238,0.3,0.0001,0.041,2.92,0.08,0.78,93.87,24,0.185,0.37,0.17
2.3,0,0.732,0,0,0,7.1,0,1.4,86.8,50,0.342,0.546,0.303
5.06,0.01,0.354,0.6,0.0005,0.07,6.88,0.87,2.64,84.12,71,0.79,1.18,0.55
5.09,0.033,0.788,2.5,0.0031,0.4,18.86,5.09,2.53,70.86,117,1.242,1.013,0.095
2.49,0.018,0.388,1.2,0.0015,0.196,9.23,2.49,1.24,85.68,57,0.608,0.496,0.046
4.08,0,0.367,0,0,0,8.57,0,1.22,85.3,62,0.612,0.443,0.511
3.97,0.013,0.338,0.6,0.0029,0.14,10.08,0.67,1.11,83.34,66,0.554,0.465,0.047
3.27,0.008,0.343,0.4,0.0004,0.1,4,0.75,0.9,90.66,37,0.408,0.194,0.112
1.46,0.023,0.359,0.5,0.0025,0.165,7.92,1.83,1.54,87.58,51,0.23,0.66,0.58
3.02,0.028,0.417,1.2,0.0051,0.16,7.84,1.67,1.41,86.04,56,0.88,0.41,0.05
1.74,0.019,0.457,1.2,0.0032,0.15,9.74,2.7,1.76,84.3,61,0.305,0.305,1.027
0.85,0.011,0.226,0.6,0.0016,0.074,4.77,1.32,0.86,92.26,30,0.149,0.149,0.503
3.17,0.016,0.516,0.7,0.0041,0.221,10.32,0.38,2.06,81.49,72,0.959,0,0.959
3.24,0.07,0.273,0.3,0.0021,0.179,7.46,2.81,2.02,85.49,61,1.094,0.268,0.513
1.55,0.009,0.254,0.3,0.002,0.108,5.05,0.19,1.01,90.89,35,0.468,0,0.469
0.87,0.005,1.325,0,0.0001,0.023,0.78,0.45,0.08,94.75,7,0,0,0
2.25,0.027,0.506,0.3,0,0.134,4.22,0,0.62,91.5,31,0.16,0.28,0.16
1.82,0.023,0.661,0.4,0.0022,0.138,8.52,0.72,3.26,84.05,69,0.82,0.75,1.46
2.55,0.07,0.42,0.3,0.0016,0.145,6.61,0,3.3,86,65,1.34,0.84,0.9
0.94,0.012,0.402,0.2,0.0011,0.071,4.38,0,1.68,91.8,35,0.43,0.39,0.76
1.32,0.032,0.516,0.6,0.0002,0.098,7.03,1.35,4.46,84.96,72,1.12,1.03,2
2.29,0.075,0.272,0.3,0.0006,0.125,5.86,0,3.91,86.46,66,1.59,0.99,1.07
0.68,0.016,0.254,0.3,0.0001,0.05,3.62,0,2.29,92.27,37,0.58,0.53,1.03
2.38,0.014,0.702,0,0.0001,0.049,7.16,0.54,5.77,82.75,90,1.697,2.056,1.063
1.8,0.011,0.357,0.4,0,0.272,9.5,0.39,1.3,85.8,58,0.5,0.4,0.4
2.4,0,0.788,0,0,0,7.7,0,6.5,81.4,99,1.61,1.64,2.05
3.01,0.073,0.362,0.1,0.0005,0.11,6.04,0,4.62,84.83,77,1.87,1.8,0.66
1.41,0.014,0.347,0.1,0.0001,0.036,3.8,0,3.02,90.62,48,0.85,1.34,0.61
0.68,0.029,0.454,0.1,0.0002,0.082,5.11,1.59,2.04,90.94,41,1.3,0.45,0.16
1.61,0.012,0.702,0,0,0.062,6.72,1.46,5.89,83.85,85,1.38,1.11,1.434
1.21,0.013,0.383,0.6,0,0.374,8.1,2.13,1.69,87.26,52,0.53,0.44,0.56
2.49,0.068,0.335,0,0.0001,0.102,5.73,3.33,3.86,86.63,67,1.317,1.087,0.771
0.79,0.007,0.318,0,0,0.03,3.29,0.72,2.88,92.04,42,0.676,0.543,0.702
1,0.019,0.02,0.2,0.0004,0.041,4.53,1.72,3.7,90.3,53,1.005,0.704,1.739
2.2,0.027,0.637,0.4,0.001,0.098,10.4,3.64,4.2,81,88,1.17,1.67,1.16
2.74,0.072,0.405,0.3,0.001,0.125,7.4,0,3.78,84.5,75,1.63,1.32,0.64
1.13,0.014,0.38,0.4,0.0005,0.049,5.2,0,2.16,90.5,44,0.6,0.86,0.6
1.39,0.016,0.484,0.4,0,0.109,9.14,1.69,1.88,85.39,59,0.97,0.44,0.33
2.33,0.067,0.23,0.2,0.0005,0.13,6.92,0,2.6,86.67,60,1.52,0.7,0.23
0.72,0.008,0.238,0.2,0,0.056,4.7,0,0.97,92.49,30,0.5,0.23,0.17
2.22,0.014,0.685,0.2,0,0.047,6.53,0,4.14,84.85,72,2.58,1.19,0.15
2.78,0.069,0.354,0.1,0.0001,0.095,5.64,2.62,3.23,87.11,61,1.93,1.147,0.155
1.11,0.009,0.391,0.1,0,0.024,3.27,0.24,2.07,92.38,36,1.29,0.595,0.075
8,0.134,4.957,3,0.0166,0.408,52.1,17.51,24.1,2.9,446,6.03,10.73,6.29
1.16,0.007,0.37,0.4,0.0065,0.022,4.29,0.09,0.61,92.87,27,0.166,0.191,0.129
0.62,0.013,1.558,0,0.0018,0.107,0.72,0,0.73,96.89,11,0.22,0.33,0.15
2.9,0.01,0.303,0.2,0.0029,0.092,1.8,0.59,0.1,93.77,19,0.01,0.01,0.03
2.58,0.019,0.376,0.5,0,0.055,4.35,0.42,1.21,90.65,39,0.229,0.288,0.311
3.74,0.017,0.532,0,0.0017,0.144,8.16,0,1.12,85.75,56,0.45,0.52,0.13
2.13,0.025,0.288,2.4,0.002,0.255,8.64,2.17,1.17,86.72,53,0.62,0.38,0.11
3.48,0.028,0.516,0.8,0.0009,0.255,9.17,1.5,2.05,82.95,68,0.44,0.56,0.91
1.77,0.014,0.254,0.4,0.0005,0.13,4.66,0,1.04,91.33,34,0.23,0.29,0.46
2,0.02,0.215,2.4,0.0057,0.186,9,2.13,0.8,87.3,50,0.14,0.28,0.25
1.5,0.01,0.573,0,0,0.076,9.6,0,1.8,84.9,61,0.35,0.8,0.57
0.77,0.005,0.365,0.3,0,0.038,4.8,0,0.93,92.4,30,0.18,0.41,0.29
2.51,0.008,0.773,0.1,0.0008,0.126,7.41,2.28,3.21,84.6,68,1.24,1.12,0.62
1.29,0.004,0.397,0.3,0.0004,0.065,3.81,0,1.65,92.08,35,0.64,0.58,0.32
0.66,0.005,0.403,0.2,0.0004,0.038,4.4,0.18,1.82,92.36,33,0.32,0.89,0.61
3.06,0.022,0.732,0.7,0.001,0.056,6.68,2.72,1.42,86.35,46,0.21,0.61,0.53
1.5,0.012,0.423,0.3,0.0005,0.028,3.27,1.33,0.7,93.26,23,0.103,0.299,0.26
7.48,0.143,8.031,6.6,0.0034,0.721,65.07,4.65,0.34,3.79,293,0.089,0.067,0.164
0.32,0.009,0.346,0.3,0.0001,0.031,2.77,0.2,0.01,95.8,12,0.004,0.003,0.007
1.11,0.008,0.475,0.1,0.0001,0.013,3.54,0.98,1.01,92.96,28,0.5,0.42,0.04
1.72,0.018,0.74,0,0.0026,0.04,3.32,0,3.13,89.88,48,2.04,0.74,0.13
2.51,0.068,0.425,0,0.0018,0.096,3.99,0,3.24,88.94,55,2.06,0.85,0.13
0.87,0.009,0.407,0,0.0013,0.02,1.69,0,1.59,94.86,24,1.04,0.38,0.07
6.54,0.021,0.68,3.9,0.0013,0.145,20.18,6.52,2.23,68.54,125,1.07,0.76,0.29
4.97,0.068,0.352,1.1,0.0011,0.148,12.69,0,2.77,77.93,94,1.58,0.86,0.21
3.2,0.012,0.336,1.9,0.0006,0.071,9.88,3.19,1.09,84.55,61,0.524,0.372,0.142
3.2,0.012,0.01,1.9,0.0006,0.071,9.88,3.19,1.09,84.55,62,0.524,0.372,0.142
4.62,0.014,0.301,1.7,0.0029,0.127,11.17,1.91,1.66,80.95,77,0.66,0.68,0.24
7.68,0.016,0.63,1.7,0.0011,0.297,20.81,0,3.28,65.67,141,1.31,1.34,0.47
4.08,0.009,0.398,0.9,0.0006,0.158,11.05,0,1.74,81.77,75,0.7,0.71,0.25
5.19,0.019,0.778,0.4,0.0011,0.124,7.66,0,3.78,80.62,84,1.68,1.64,0.29
2.54,0.011,0.385,0.2,0.0005,0.061,3.75,0,1.85,90.46,41,0.822,0.803,0.142
2.7,0,0.364,0.6,0,0,5.6,0,5.2,85.3,80,1.62,2.46,0.32
10.48,0.029,2.036,2.3,0.0003,0.179,63.42,1.57,15.63,4.89,436,7.553,6.53,1.457
10.29,0.03,2.002,2.2,0.0006,0.185,63.27,1.78,15.71,5.52,436,7.965,6.784,1.528
10.66,0.027,2.071,2.4,0,0.173,63.57,1.35,15.55,4.26,437,7.095,6.148,1.387
10.89,0.022,1.2,2.7,0.0012,0.128,70.95,0.85,2.5,12.08,350,0,0.685,1.438
4.05,0.012,0.716,1,0.0007,0.13,7.73,0,2.14,83.78,66,0.91,0.63,0.45
2.03,0.008,0.415,0.5,0.0004,0.065,3.87,0.26,1.07,91.84,33,0.455,0.315,0.225
3.2,0.01,0.501,0,0.0001,0.053,3.8,0,2,90.13,46,0.501,0.583,0.341
4.2,0,0.361,2.3,0,0,6.8,0,3.7,84.1,77,1.33,1.32,0.523
8.6,0,0.729,3,0,0,21.2,0,2.3,65.4,140,0.676,0.892,0.439
5.2,0,0.343,0,0.0042,0,11.3,0,1.1,81,76,0.3,0.404,0.198
1.97,0.008,0.198,0,0,0.185,1.2,0.54,0.09,95.89,13,0.035,0.043,0.005
2.52,0.003,0.143,0,0.0002,0.105,3.53,1.58,1.2,92.15,36,0.321,0.582,0.213
2.26,0.003,0.156,0,0.0001,0.144,0,0,0.81,96.96,17,0.203,0.236,0.138
3.79,0.017,0.816,0,0.0016,0.185,8.95,0,3.04,81.89,78,0.67,0.79,1.37
1.97,0.009,0.424,0,0.0008,0.096,4.65,0,1.58,90.58,40,0.35,0.41,0.71
3.55,0.014,0.731,1.2,0,0.176,16.87,0,3.42,74.08,112,1.27,1.38,0.54
1.78,0.009,0.367,0.6,0,0.088,8.44,0.73,1.71,86.99,56,0.635,0.69,0.27
1.76,0.031,0.685,0.8,0.0046,0.325,18.47,0,1.95,75.32,96,0.42,0.53,0.87
2.51,0.074,0.442,0.2,0.0028,0.241,11.73,0,2.63,81.51,79,1.25,0.75,0.49
0.92,0.016,0.424,0.2,0.0024,0.169,9.6,0,1.02,87.17,50,0.22,0.28,0.45
1.64,0.018,0.635,1.3,0.0115,0.257,17.08,5.9,2.12,77.13,93,0.4,0.47,1.05
0.82,0.011,0.319,0.7,0.0058,0.129,8.54,2.95,1.06,88.52,47,0.2,0.235,0.525
11.73,0.046,6.722,3,0.0353,0.605,59.9,3.77,5.09,3.73,325,2.32,1.91,0.5
0.79,0.008,0.132,0.3,0.0012,0.067,4.04,0.99,0.34,94.24,22,0.15,0.12,0.03
1.61,0.013,0.387,1.2,0.0129,0.229,13.41,8.11,0.56,82.5,60,0.155,0.179,0.189
1.61,0.013,0.022,1.2,0.0129,0.229,13.41,8.11,0.56,82.5,65,0.155,0.179,0.189
2.49,0.069,0.21,0.6,0.0063,0.183,8.95,6.53,1.3,85.98,55,0.695,0.336,0.126
0.79,0.008,0.19,0.6,0.0063,0.112,6.57,3.97,0.28,91.38,30,0.076,0.088,0.093
0.93,0.029,0.356,0.4,0.002,0.111,7.17,3.9,0.61,89.88,38,0.286,0.237,0.063
0.79,0.008,0.024,0.6,0.0063,0.112,6.57,3.97,0.28,91.38,30,0.076,0.088,0.093
3.11,0.009,0.65,0.6,0.0001,0.06,6.88,0.41,1.59,86.37,55,0.44,0.64,0.39
1.6,0.005,0.334,0.3,0.0001,0.031,3.54,0,0.82,92.99,28,0.23,0.33,0.2
2.52,0.014,0.739,0.5,0,0.143,7.05,1.09,2.47,86.01,60,0.73,1.08,0.55
1.28,0.007,0.376,0.2,0,0.073,3.58,0,1.26,92.89,30,0.37,0.55,0.28
4.33,0.021,0.391,0,0.0027,0.153,5.96,0,1.87,86.37,57,0.52,0.75,0.46
4.45,0.013,0.706,1.6,0.0019,0.138,8.11,0.89,1.51,83.69,63,0.68,0.64,0.09
3.8,0,0.555,0,0,0,7.7,0,0.8,86,53,0.231,0.176,0.237
2.23,0.008,0.349,0.8,0.001,0.069,4.06,0.45,0.76,91.8,31,0.34,0.32,0.045
1.16,0.006,0.312,0.3,0.0008,0.072,3.17,0.36,0.44,94.2,21,0.22,0.18,0.02
6.2,0,0.376,1.5,0,0,3.3,0,0.7,88.6,44,0.221,0.223,0.112
5.1,0.011,0.035,0.4,0.0023,0.153,8.76,1.42,2,83.4,69,0.597,0.895,0.418
1.1,0.012,0.194,1.1,0.0004,0.217,6.06,2.15,0.45,91.35,33,0.074,0.102,0.202
2.42,0.014,0.515,1.3,0.0019,0.157,10.7,1.64,1.56,83.27,66,0.36,0.45,0.64
1.21,0.009,0.253,0.7,0.001,0.079,5.35,0.82,0.78,91.59,33,0.18,0.225,0.32
2.2,0.02,0.385,2.1,0.0008,0.433,12.11,4.31,0.9,82.79,65,0.147,0.203,0.403
1.72,0.017,0.672,0.5,0.0012,0.171,9.78,3.13,1.58,84.91,59,0.24,0.68,0.59
0.86,0.01,0.338,0.3,0.0006,0.086,4.89,1.57,0.79,92.41,28,0.12,0.34,0.295
2.08,0.005,0.406,0.2,0.0007,0.032,5.25,0.34,0.26,91.18,32,0.062,0.077,0.071
3.85,0.017,0.166,1.9,0,0.183,11.83,5.06,0.92,82.4,71,0.3,0.37,0.168
4,0.016,0.196,1.9,0.001,0.204,11.4,1.57,0.7,82.8,68,0.294,0.282,0.135
1.5,0.012,0.43,1.4,0.004,0.27,7,0,0.2,89.7,36,0.029,0.016,0.107
1.2,0.02,0.59,0,0.0039,0.292,8.7,4.7,0.9,87.1,48,0.162,0.21,0.51
13.45,0.148,1.162,0.2,0.0008,0.189,4.66,2.49,18.17,59.06,239,5.86,5.542,5.046
29.1,0.014,1.42,0,0,0.385,0.8,0.8,44.2,21.6,517,16,21.9,4.3
15.84,0.055,1.334,0,0,0.329,6.4,0,8.9,64.82,173,3.17,4.14,0.81
18.21,0.011,0.652,0,0,0.258,0.35,0,27.98,51.12,332,10.905,12.639,0.663
15.5,0.015,0.91,0,0.0007,0.234,0.03,0,37.57,43.75,405,15.098,16.387,0.879
11.7,0.012,0.682,0,0,0.155,2,0,28.4,54.8,310,11.676,13.299,1.051
27.1,0.012,1.006,0,0,0.136,0,0,14.93,57.72,250,6.18,5.96,0.63
31.1,0.008,2.79,0,0,0.235,2.76,2.7,1.94,53.8,153,0.95,0.84,0.07
19,0.01,1.322,0,0,0.402,0,0,3.3,74.6,111,1.41,1.45,0.17
21.8,0.01,0.885,0,0.0003,0.21,0.36,0.1,5.82,69.53,147,2.681,2.118,0.145
14.11,0.007,1.131,0,0,0.176,2.42,0,26.91,53.56,312,11.44,12.97,1.05
20.19,0.008,1.258,0,0,0.377,1.86,0,4.42,68.93,133,1.81,1.83,0.23
28.11,0.011,1.439,0,0,0.429,5.71,0,3.84,58.1,176,1.65,1.68,0.2
14.24,0.008,1.24,0,0,0.253,2.06,0,18.8,61.46,238,6.28,8.98,2.36
14,0.027,0.732,0.9,0.0006,0.244,3.76,0,22.53,56.71,277,8.438,10.105,2.08
14,0.027,0.732,0.9,0.0006,0.244,4.27,0,22.53,56.71,276,8.438,10.105,2.08
14.6,0.006,0.68,0,0,0.038,1.29,1.29,34.5,47.3,379,13.4,15.9,3.46
14.03,0.041,0.497,1,0.0032,0.27,2.95,1.33,25.87,54.47,301,10.256,13.138,2.328
