protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g)
31.7,0.961,0.743,1.8,0,0.106,3.5,1.48,0,60.2,141,0,0,0
24.26,0.782,0.619,0,0,0.084,2.77,1.13,15.92,53.78,254,10.114,4.51,0.472
25.96,0.731,0.652,0,0,0.095,3.83,0.6,20.03,46.46,302,10.877,4.85,0.508
22.17,0.505,0.627,0,0,0.076,2.19,1.03,22.35,50.01,300,13.152,6.573,0.765
21.6,0.575,0.415,0,0,0.075,2.47,1.01,24.64,48.38,318,15.561,7.027,0.778
23.41,0.717,0.628,0,0,0.134,1.12,1.12,30.04,41.77,368,19.113,8.711,0.661
24.7,0.529,0.6,0,0,0.134,3.5,3.5,17.6,50.5,271,10.95,5.09,0.65
9.15,0.117,0.334,0,0,0.152,3.59,3.19,22.78,63.11,253,12.79,5.784,0.97
20,1.109,1.529,0,0,0.125,1.37,0,20,50.6,265,13.317,6.098,0.462
38.46,1.109,1.529,0,0,0.125,4.06,0.9,28.61,20.84,431,17.301,8.375,1.173
35.75,1.184,1.602,0,0,0.092,3.22,0.8,25.83,29.16,392,16.41,7.515,0.569
41.6,1.376,0.063,0,0,0.107,3.7,0.85,29.99,22.2,451,19.051,8.721,0.659
37.86,1.253,1.696,0,0,0.097,3.41,0.9,27.34,25,415,17.37,8.734,0.661
24.6,0.684,1.43,0,0,0.18,3.5,0.59,7,58.9,180,4.41,2.005,0.222
22.15,0.552,1.254,0,0,0.169,1.6,0.51,31.25,39.16,375,19.694,8.951,0.99
22.15,0.616,0.65,0,0,0.162,1.6,0.51,31.25,39.16,375,19.694,8.951,0.99
22.5,0.689,1.528,0,0,0.288,13.4,9.95,0.8,56.9,148,0.504,0.229,0.025
22.2,0.616,0.007,0,0,0.162,1.6,0.45,31.19,42.8,376,19.651,8.932,0.988
22.13,0.614,1.428,0.1,0.0023,0.162,1.73,0.62,31.2,39.08,375,19.663,8.937,0.988
25.5,0.684,1.43,0,0,0.18,4.3,1.35,5.1,59.1,165,3.303,1.351,0.18
24.73,0.772,1.37,0,0,0.216,2.1,1.23,25.01,42.31,334,16.045,7.046,0.622
24.73,0.772,0.681,0,0,0.216,2.1,0,25.01,42.31,334,16.045,7.046,0.622
23.78,0.65,0.534,0,0,0.136,0.57,0.57,28.2,45.45,352,16.691,9.338,0.729
25.58,0.756,0.876,0,0,0.138,2.14,0.56,26.62,40.95,351,17.078,7.393,0.769
24.7,0.756,0.876,0,0,0.138,3.5,0.55,17.6,50.6,274,11.3,4.89,0.51
11.39,0.272,0.125,0,0,0.125,5.14,0.31,7.91,74.41,138,4.927,2.314,0.26
11.26,0.207,0.084,0,0,0.105,3.04,0.27,12.98,71.7,174,8.295,3.627,0.385
31.8,1.064,1.2,0,0,0.086,3.63,0.73,26.94,30.91,387,17.115,7.838,0.593
21.54,0.662,1.809,0,0,0.091,2,0,30.64,39.38,369,19.263,8.474,1.32
26.93,0.791,0.192,0,0,0.077,5.38,1.32,27.8,37.12,380,17.779,7.274,0.972
28.4,0.961,0.26,0,0,0.111,3.4,1.33,5.1,59.6,173,3.304,1.351,0.18
28.4,0.961,0.014,0,0,0.111,3.4,1.31,27.4,37.8,374,17.744,7.256,0.968
24.41,0.7,0.753,0,0,0.065,1.88,0,25.98,42.86,340,16.775,7.136,0.721
20.38,0.69,0.704,0,0,0.126,2.53,1.76,24.31,48.7,310,13.661,6.459,1.149
0.69,0.006,0.08,1.1,0,0.096,35.07,33.04,13.5,50.06,251,2.635,4.002,6.269
0.68,0.005,0.196,1.2,0,0.09,75.42,58.01,21.47,1.52,498,19.463,0.618,0.229
0.8,0.001,0.06,0,0,0.177,9.1,9.1,3.5,86.2,71,0.896,2.03,0.42
1,0.009,0.079,0,0,0.191,11.38,11.38,9.97,77.27,136,1.937,7.551,0.027
1,0.009,0.079,0,0,0.191,11.38,0,9.97,77.27,136,9.304,0.106,0.003
4.79,0.022,0.181,0,0,0.812,54.88,54.88,35.48,2.21,545,32.525,0.968,0.014
1.9,0.001,0.229,0,0,0.902,73.4,73.4,15.7,6.2,431,3.8,11.5,0.198
2.96,0.105,0.041,0,0.0009,0.13,4.3,0.16,11.5,80.57,130,7.158,3.321,0.427
2.05,0.065,0.038,0,0.0006,0.075,2.79,0.11,37,57.71,345,23.032,10.686,1.374
2.7,0.096,0.04,0,0.0008,0.122,3.66,0.14,19.31,73.75,195,12.02,5.577,0.717
2.17,0.069,0.034,0,0.0006,0.097,2.96,0.11,30.91,63.5,292,19.337,9.093,0.884
2.6,0.096,0.144,0,0.0007,0.206,9,5,1.4,86,59,0.841,0.384,0.052
2.07,0.11,0.08,0,0.0009,0.141,2.88,3.5,19.73,74.46,193,11.507,5.068,0.84
2.94,0.104,0.041,0,0.0009,0.129,4.26,0.16,12,80.14,135,7.47,3.466,0.446
3.2,0.101,0.13,0,0,0.147,12.49,8,22.22,61.33,257,13.831,6.418,0.825
4.9,0.017,0.122,0,0,0.166,52.54,52.54,39.92,1.47,577,36.723,0.6,0.447
3.61,0.09,0.066,0,0.0007,0.151,17.13,17.47,12.72,65.74,194,10.684,0.843,0.201
0.98,0.005,0.062,0,0,0.019,16.07,16.07,22.3,60.37,264,18.912,1.927,0.241
1.25,0.006,0.025,0,0,0.018,23.05,23.05,25.31,50.21,318,21.783,1.616,0.523
6.84,0.251,0.129,0,0,0.35,55.35,49.74,7.35,28.71,315,4.534,2.143,0.375
35.6,0.171,0.576,0,0,0.373,23.97,2.46,34.5,2.78,555,10.305,13.745,7.555
10,0.073,0.199,0,0.0005,0.213,2,2,0,87,48,0,0,0
55.5,0.326,0.8,0,0.0008,0.744,21.8,21.8,13,3.86,444,3.766,5.341,1.683
12.81,0.064,0.146,0,0,0.222,1.45,0.93,13.77,70.83,185,3.681,6.525,1.223
13.87,0.06,0.138,0,0,0.21,1.35,0.94,13.27,70.43,185,3.595,5.747,1.672
13.05,0.064,0.141,0,0,0.132,0.41,0.4,11.09,74.35,158,3.557,4.324,1.324
13.68,0.099,0.151,0,0,0.142,1.15,0,11.88,72.5,171,3.632,4.571,1.658
81.1,0.062,1.28,0,0,1.125,7.8,5.4,0,5.8,382,0,0,0
76.92,0.083,1.156,0,0,1.042,4.17,4.17,0.04,14.62,351,0,0,0
82.4,0.089,1.238,0,0,1.116,4.47,4.47,0.04,8.54,376,0,0,0
10.9,0.007,0.166,0,0,0.163,0.73,0.71,0.17,87.57,52,0,0,0
9.8,0.007,0.158,0,0,0.136,1.05,0,0,88.55,47,0,0,0
13.61,0.062,0.207,0,0,0.152,0.83,0.4,14.84,69.47,196,4.323,6.182,3.251
12.58,0.05,0.124,0,0,0.126,1.12,1.12,10.61,74.62,155,3.267,4.077,1.414
10.57,0.048,0.155,0,0,0.117,0.64,0.31,11.66,76.13,154,3.319,4.843,2.712
12.51,0.056,0.297,0,0,0.138,0.71,0.37,9.47,75.85,138,3.113,3.643,1.904
9.99,0.066,0.145,0,0,0.132,1.61,1.43,10.98,76.4,149,3.331,4.441,2.429
47.35,0.231,0.523,0,0,0.493,4.95,3.08,40.95,3.1,594,12.727,15.337,5.804
48.17,0.222,0.548,0,0,0.515,2.38,0,43.95,1.87,615,13.198,17.564,5.713
12.56,0.056,0.142,0,0,0.138,0.72,0.37,9.51,76.15,143,3.126,3.658,1.911
11.95,0.059,0.133,0,0,0.13,1.05,0,10.2,75.85,148,3.147,3.886,1.412
34.25,0.284,0.135,0,0,0.244,3.6,3.6,55.8,2.95,666,17.154,21.129,7.895
15.86,0.129,0.048,0,0,0.109,3.59,0.56,26.54,52.31,322,9.551,11.738,4.204
15.5,0.138,0.067,0,0,0.118,1.15,0.51,25.6,56.2,303,7.82,9.747,3.628
14,0.114,3.78,0,0,0.117,1.6,0,23,50.8,274,7.028,8.849,3.15
13.8,0.123,0.067,0,0,0.103,10.8,0,22.75,51.25,307,6.97,8.614,3.244
4.55,0.13,0.054,0,0.0015,0.165,8.05,8.41,4.19,82.54,88,2.591,1.302,0.198
13.1,0.017,0.162,0,0,0.147,7.5,7.5,5.6,72.7,135,1.052,2.339,1.778
5.16,0.079,0.095,0,0.0119,0.175,19.88,19.88,4.52,69.84,141,0.673,1.283,3.111
25,0.705,0.67,0,0,0.055,1,1,32,38,390,5.815,14.127,10.615
4.7,0.141,0.072,0,0.0012,0.219,15.1,7.2,1.3,77.7,91,0.8,0,0
4.5,0.161,0.059,0.1,0.0011,0.21,6.5,6.4,12,76.2,152,7.6,0,0
3.2,0.091,0.045,0.2,0,0.151,21.9,19.6,0.8,73.3,108,0.5,0,0
3.4,0.095,0.045,0,0.0006,0.146,9.9,7.7,0.2,86,55,0.1,0,0
